,corpus,corpus_path,extracted_filename,phone,pred_phone,next_phone,start_time,end_time,duration,word,pred_word,next_word,is_word_onset,speaker,gender,f1,f2,deltaFormant,norm_f1,norm_f2,norm_deltaFormant,norm_duration
10,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sx127,dr1_fcjf0_emperor_eh_5045.wav,eh,q,m,0.3153125,0.3764375,0.061124999999999985,emperor,,had,True,fcjf0,f,813.0,1720.0,907.0,1.4778700743230593,-1.242629408850626,-1.5988062165959205,-1.1246437263461249
11,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sx127,dr1_fcjf0_had_ae_10160.wav,AE,hv,dx,0.635,0.7275,0.09250000000000003,had,emperor,a,False,fcjf0,f,754.0,1867.0,1113.0,0.5440619416851958,-0.2512235846930031,-0.4124790464247917,-0.4282333948364433
12,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sx127,dr1_fcjf0_temper_eh_18380.wav,eh,t,m,1.14875,1.235,0.08625000000000016,temper,mean,,False,fcjf0,f,743.0,1863.0,1120.0,0.3699621203459332,-0.27820061392178197,-0.3721669581180058,-0.5669605525076915
13,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sx217,dr1_fcjf0_permanent_eh_9608.wav,eh,nx,n,0.6005,0.6775,0.07699999999999996,permanent,how,are,False,fcjf0,f,707.0,1906.0,1199.0,-0.1998191131280174,0.01180245028759075,0.08278375277286396,-0.7722767458611476
14,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sx217,dr1_fcjf0_their_eh_14590.wav,eh,dh,r,0.911875,1.0025625,0.09068750000000003,their,are,,False,fcjf0,f,564.0,1865.0,1301.0,-2.4631167905384324,-0.26471209930739253,0.6701884681003161,-0.468464270561106
15,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sx217,dr1_fcjf0_their_eh_17545.wav,eh,r,kcl,1.0965625,1.18575,0.08918749999999998,their,are,,False,fcjf0,f,674.0,1836.0,1162.0,-0.7221185771458054,-0.46029556121603926,-0.13029442827729024,-0.5017587884022076
16,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sa1,dr1_fdaw0_had_ae_6224.wav,AE,hv,dcl,0.389,0.5225,0.13349999999999995,had,she,your,False,fdaw0,f,733.0,1872.0,1139.0,0.5415016839567396,0.19242461754806486,-0.034145360686711805,0.25703465620271715
17,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sa2,dr1_fdaw0_dont_ae_5080.wav,AE,n,s,0.3175,0.455,0.1375,don't,,ask,True,fdaw0,f,766.0,1717.0,951.0,0.9516811032413355,-0.6421176714529729,-0.8543928029608321,0.336789085783326
18,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sa2,dr1_fdaw0_carry_eh_14780.wav,eh,k,r,0.92375,1.015625,0.09187500000000004,carry,to,an,False,fdaw0,f,608.0,1981.0,1373.0,-1.0122082375758208,0.7792962917487947,0.9868009238459698,-0.5729098766204795
19,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sa2,dr1_fdaw0_rag_ae_27279.wav,AE,r,gcl,1.7049375,1.8975,0.19256249999999997,rag,oily,like,False,fdaw0,f,858.0,1745.0,887.0,2.0952116054893,-0.4913616450527855,-1.1336259747988306,1.4346586554788774
20,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sa2,dr1_fdaw0_that_ae_36570.wav,AE,dh,tcl,2.285625,2.5525,0.2668750000000002,that,like,,False,fdaw0,f,860.0,1778.0,918.0,2.120070964233821,-0.3136848996525646,-0.9983724071898,2.9163464175311087
21,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/si1271,dr1_fdaw0_has_eh_6960.wav,eh,hh,z,0.435,0.525625,0.09062500000000001,has,this,been,False,fdaw0,f,614.0,1774.0,1160.0,-0.9376301613422577,-0.33522147485259135,0.057478023822631424,-0.59783313586442
22,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/si1271,dr1_fdaw0_been_eh_11004.wav,eh,b,n,0.68775,0.7725,0.08474999999999999,been,has,attributed,False,fdaw0,f,699.0,1725.0,1026.0,0.11889258529988318,-0.5990445210529194,-0.5271664297131777,-0.7149724543109378
23,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/si1271,dr1_fdaw0_pressure_eh_59086.wav,eh,r,sh,3.692875,3.7675,0.07462500000000016,pressure,vapor,thermometer,False,fdaw0,f,610.0,1737.0,1127.0,-0.9873488788312997,-0.5344347954528391,-0.0865015804063365,-0.9168508541868475
24,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/si1406,dr1_fdaw0_answer_ae_14047.wav,AE,q,n,0.8779375,1.010625,0.13268750000000007,answer,,they,True,fdaw0,f,655.0,2210.0,1555.0,-0.428013307079578,2.012265221950328,1.7808702562602778,0.24083453769415855
25,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/si1406,dr1_fdaw0_set_eh_26710.wav,eh,s,q,1.669375,1.7268125,0.05743750000000003,set,they,the,False,fdaw0,f,637.0,1760.0,1123.0,-0.6517475357802667,-0.4105994880526851,-0.10395365364621141,-1.2595456687910238
26,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/si2036,dr1_fdaw0_as_ae_3841.wav,AE,,z,0.2400625,0.3486875,0.10862499999999997,as,,his,True,fdaw0,f,723.0,1760.0,1037.0,0.41720489023413476,-0.4105994880526851,-0.47917322830352177,-0.2389382027516863
27,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/si2036,dr1_fdaw0_felt_eh_27086.wav,eh,f,l,1.692875,1.7545625,0.06168750000000012,felt,he,ashamed,False,fdaw0,f,677.0,1476.0,799.0,-0.15456036088984743,-1.9396963272545866,-1.5175715860760783,-1.1748065873616265
28,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/si2036,dr1_fdaw0_panic_ae_44192.wav,AE,p,n,2.762,2.8886875,0.12668750000000006,panic,the,and,False,fdaw0,f,667.0,2063.0,1396.0,-0.27885715461245225,1.2207960833493439,1.0871503449752506,0.12120289332324698
29,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/si2036,dr1_fdaw0_stand_ae_69187.wav,AE,t,n,4.3241875,4.5499375,0.22575000000000056,stand,a,,False,fdaw0,f,600.0,2344.0,1744.0,-1.1116456725539046,2.733740491151225,2.605480716844367,2.0963711884054934
30,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sx146,dr1_fdaw0_programs_ae_18381.wav,AE,r,m,1.1488125,1.273875,0.12506250000000008,programs,cyclical,,False,fdaw0,f,678.0,1718.0,1040.0,-0.14213068151758695,-0.6367335276529663,-0.4660841733736156,0.08880265630612537
31,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sx146,dr1_fdaw0_never_eh_26115.wav,eh,n,v,1.6321875,1.733625,0.10143750000000007,never,will,compile,False,fdaw0,f,713.0,1755.0,1042.0,0.29290809651152994,-0.43752020705271855,-0.45735813675367815,-0.38224694340433873
32,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sx326,dr1_fdaw0_collects_eh_11446.wav,eh,l,kcl,0.715375,0.8425,0.12712500000000004,collects,steve,rare,False,fdaw0,f,688.0,1763.0,1075.0,-0.017833887794982125,-0.394447056652665,-0.3133785325247102,0.12992603405862552
33,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sx326,dr1_fdaw0_rare_eh_17153.wav,eh,r,r,1.0720625,1.22,0.14793750000000006,rare,collects,and,False,fdaw0,f,608.0,1860.0,1252.0,-1.0122082375758208,0.1278148919479845,0.45887570833975416,0.5448983004702249
34,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sx416,dr1_fdaw0_rarely_eh_23770.wav,eh,r,r,1.485625,1.57375,0.08812500000000001,rarely,outage,,False,fdaw0,f,612.0,1765.0,1153.0,-0.9624895200867788,-0.3836787690526516,0.026936895652850346,-0.6476796543522998
35,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sx56,dr1_fdaw0_academic_ae_2917.wav,AE,q,kcl,0.1823125,0.2775,0.09518750000000004,academic,,aptitude,False,fdaw0,f,760.0,1808.0,1048.0,0.8771030270077725,-0.15216058565236368,-0.4311800268938658,-0.5068632396240389
36,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sx56,dr1_fdaw0_academic_eh_7988.wav,eh,d,m,0.49925,0.615875,0.11662499999999992,academic,,aptitude,False,fdaw0,f,747.0,1822.0,1075.0,0.7155171951683863,-0.07678257245226994,-0.3133785325247102,-0.07942934359047196
37,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sx56,dr1_fdaw0_aptitude_ae_14074.wav,AE,q,pcl,0.879625,0.9725,0.09287500000000004,aptitude,academic,guarantees,False,fdaw0,f,778.0,1737.0,959.0,1.1008372557084614,-0.5344347954528391,-0.8194886564810824,-0.5529712692253276
38,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sx56,dr1_fdaw0_guarantees_eh_25350.wav,eh,g,axr,1.584375,1.6788125,0.09443749999999995,guarantees,aptitude,your,False,fdaw0,f,566.0,2064.0,1498.0,-1.534254771210761,1.2261802271493505,1.5321782125920604,-0.5218171951704045
39,TIMIT,timit/TIMIT_ORIG/train/dr1/fdml0/sa1,dr1_fdml0_had_ae_6725.wav,AE,hv,dcl,0.4203125,0.5301875,0.10987500000000006,had,she,your,False,fdml0,f,716.0,2036.0,1320.0,-0.22535109668631467,0.36457104051567635,0.368251251719125,-0.7363584563302701
40,TIMIT,timit/TIMIT_ORIG/train/dr1/fdml0/sa2,dr1_fdml0_dont_ae_5000.wav,AE,n,s,0.3125,0.4275,0.11499999999999999,don't,,ask,True,fdml0,f,802.0,1868.0,1066.0,1.2061405288551605,-0.29619506113265376,-0.512245224150933,-0.6009040793763344
41,TIMIT,timit/TIMIT_ORIG/train/dr1/fdml0/sa2,dr1_fdml0_carry_ae_13400.wav,AE,k,r,0.8375,0.9425,0.10499999999999998,carry,to,an,False,fdml0,f,700.0,1899.0,1199.0,-0.49167512004286823,-0.17426798285230713,-0.0511978568646428,-0.8652053027010906
42,TIMIT,timit/TIMIT_ORIG/train/dr1/fdml0/sa2,dr1_fdml0_rag_ae_25608.wav,AE,r,gcl,1.6005,1.7775,0.17700000000000005,rag,oily,like,False,fdml0,f,765.0,1838.0,1073.0,0.5902662248431305,-0.41418900785556984,-0.48797957324112823,1.0377635052371537
43,TIMIT,timit/TIMIT_ORIG/train/dr1/fdml0/sa2,dr1_fdml0_that_ae_33720.wav,AE,dh,q,2.1075,2.2858125,0.1783125000000001,that,like,,False,fdml0,f,809.0,1776.0,967.0,1.3226572890736528,-0.6580431644162631,-0.8554308584467429,1.0724530407985293
44,TIMIT,timit/TIMIT_ORIG/train/dr1/fdml0/si1149,dr1_fdml0_reaction_ae_15373.wav,AE,iy,kcl,0.9608125,1.08475,0.12393750000000014,reaction,of,is,False,fdml0,f,740.0,1902.0,1162.0,0.17413493834851562,-0.1624685881800155,-0.1794591545307536,-0.3646848610298298
45,TIMIT,timit/TIMIT_ORIG/train/dr1/fdml0/si1149,dr1_fdml0_vanishing_ae_49129.wav,AE,v,nx,3.0705625,3.2089375,0.13837500000000036,vanishing,is,,False,fdml0,f,742.0,2368.0,1626.0,0.20742544126808482,1.6703707175826146,1.4290068486334466,0.016900030145292268
46,TIMIT,timit/TIMIT_ORIG/train/dr1/fdml0/si1779,dr1_fdml0_tan_ae_17080.wav,AE,t,n,1.0675,1.2925,0.2250000000000001,tan,pink,or,False,fdml0,f,653.0,2446.0,1793.0,-1.2740019386527441,1.9771549790621963,2.007915948910217,2.3064093771959833
47,TIMIT,timit/TIMIT_ORIG/train/dr1/fdml0/si2075,dr1_fdml0_forget_eh_7560.wav,eh,gcl,q,0.4725,0.6318125,0.15931250000000002,forget,now,all,False,fdml0,f,675.0,1987.0,1312.0,-0.9078064065374831,0.17184759420158008,0.3405190792507767,0.5702807164814911
48,TIMIT,timit/TIMIT_ORIG/train/dr1/fdml0/sx249,dr1_fdml0_ate_eh_6391.wav,eh,q,v,0.3994375,0.48775,0.08831250000000002,ate,i,every,True,fdml0,f,607.0,2051.0,1444.0,-2.0396835058028358,0.42356801387713444,0.7980999249785233,-1.3062579691242762
49,TIMIT,timit/TIMIT_ORIG/train/dr1/fdml0/sx339,dr1_fdml0_catch_ae_11446.wav,AE,k,tcl,0.715375,0.8525,0.13712500000000005,catch,shawn,that,False,fdml0,f,794.0,1874.0,1080.0,1.0729785171768838,-0.27259627178807055,-0.46371392233132347,-0.016137622770310323
50,TIMIT,timit/TIMIT_ORIG/train/dr1/fdml0/sx339,dr1_fdml0_help_eh_35960.wav,eh,hh,l,2.2475,2.3608125,0.11331250000000015,help,without,,False,fdml0,f,762.0,1461.0,699.0,0.5403304704637767,-1.8969796050068821,-1.7844586361364103,-0.6455049108123828
51,TIMIT,timit/TIMIT_ORIG/train/dr1/fdml0/sx69,dr1_fdml0_steps_eh_33000.wav,eh,t,pcl,2.0625,2.1825,0.1200000000000001,steps,porch,,False,fdml0,f,719.0,1757.0,1038.0,-0.17541534230696088,-0.7327726640074433,-0.6093078277901519,-0.46875346771395343
52,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/sa1,dr1_fecd0_had_ae_7686.wav,AE,hv,dcl,0.480375,0.6475,0.16712499999999997,had,she,your,False,fecd0,f,890.0,1844.0,954.0,0.5645995452853395,-0.7506799338964618,-0.7991627608666992,0.9451479669928299
53,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/sa2,dr1_fecd0_dont_ae_8000.wav,AE,tcl,s,0.5,0.681875,0.181875,don't,,ask,True,fecd0,f,994.0,1968.0,974.0,1.5880131001380682,-0.2806560577601543,-0.7365855789391274,1.2400478780294302
54,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/sa2,dr1_fecd0_carry_eh_19350.wav,eh,k,r,1.209375,1.2584375,0.04906250000000001,carry,to,an,False,fecd0,f,704.0,1820.0,1116.0,-1.2657362355089636,-0.8416522970196181,-0.2922875872533672,-1.4153008971941892
55,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/sa2,dr1_fecd0_rag_ae_32173.wav,AE,r,gcl,2.0108125,2.1375,0.12668750000000006,rag,oily,like,False,fecd0,f,910.0,1995.0,1085.0,0.7614098442954796,-0.1783121492466035,-0.38928221924110357,0.13667236343062858
56,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/sa2,dr1_fecd0_that_ae_40280.wav,AE,dh,tcl,2.5175,2.7575,0.23999999999999977,that,like,,False,fecd0,f,945.0,1726.0,781.0,1.105827867563225,-1.19796071925198,-1.3404553845401959,2.4021534596567036
57,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/si1418,dr1_fecd0_tend_eh_30040.wav,eh,t,n,1.8775,1.9625,0.08499999999999996,tend,predispositions,to,False,fecd0,f,880.0,1815.0,935.0,0.46619439578026944,-0.8606048726702756,-0.8586110836978925,-0.6967947580160342
58,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/si1418,dr1_fecd0_and_eh_53478.wav,eh,q,n,3.342375,3.4279375,0.08556249999999999,and,,in,False,fecd0,f,759.0,2384.0,1625.0,-0.7245079132310783,1.2961982363745546,1.3003016928033369,-0.6855485749680278
59,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/si1418,dr1_fecd0_well_eh_75860.wav,eh,w,l,4.74125,4.832,0.09074999999999989,well,,,False,fecd0,f,831.0,1670.0,839.0,-0.015990836794573884,-1.4102295665393447,-1.1589815569502375,-0.5818337757475308
60,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/si2048,dr1_fecd0_the_eh_2712.wav,eh,dh,kcl,0.1695,0.2304375,0.06093749999999998,the,,kid,False,fecd0,f,657.0,2227.0,1570.0,-1.728240438182793,0.7010873609439072,1.1282144425025142,-1.1778814772918427
61,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/si2048,dr1_fecd0_has_ae_12080.wav,AE,hv,s,0.755,0.920625,0.16562500000000002,has,kid,no,False,fecd0,f,824.0,2102.0,1278.0,-0.08487444144812292,0.22727296967746827,0.21458758635996494,0.9151581455314818
62,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/si2048,dr1_fecd0_manners_ae_21932.wav,AE,m,n,1.37075,1.5116875,0.14093750000000016,manners,no,boys,False,fecd0,f,658.0,2619.0,1961.0,-1.718399923232286,2.1869692919554597,2.351598349186544,0.4215756673134471
63,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/si788,dr1_fecd0_we_eh_11247.wav,eh,iy,v,0.7029375,0.74625,0.043312499999999976,we,,have,True,fecd0,f,767.0,2014.0,1247.0,-0.6457837936270223,-0.10629236177410477,0.11759295437222855,-1.5302618794626948
64,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/si788,dr1_fecd0_amateur_ae_20710.wav,AE,q,m,1.294375,1.4046875,0.11031250000000004,amateur,become,,False,fecd0,f,774.0,2435.0,1661.0,-0.5769001889734733,1.4895145080112617,1.4129406202729662,-0.19071652085576649
65,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/si788,dr1_fecd0_insurance_eh_36537.wav,eh,s,kcl,2.2835625,2.3596875,0.07612500000000022,insurance,,experts,True,fecd0,f,777.0,2084.0,1307.0,-0.5473786441219523,0.15904369733510107,0.30532450015494417,-0.874234534995678
66,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/si788,dr1_fecd0_and_eh_52120.wav,eh,pau,n,3.2575,3.324875,0.06737500000000018,and,,fine,True,fecd0,f,718.0,1981.0,1263.0,-1.1279690262018656,-0.23137936106844464,0.16765469991428605,-1.049175160186882
67,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/si788,dr1_fecd0_feathered_eh_62280.wav,eh,f,dh,3.8925,3.9955,0.10299999999999976,feathered,fine,yard,False,fecd0,f,832.0,1909.0,1077.0,-0.006150321844066879,-0.5042964504379135,-0.4143130920121323,-0.33691690047984896
68,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/sx158,dr1_fecd0_outcast_ae_30997.wav,AE,ey,s,1.9373125,2.06,0.12268750000000006,outcast,social,,False,fecd0,f,893.0,1800.0,907.0,0.5941210901368605,-0.9174625996222483,-0.9462191383964931,0.05669950620036421
69,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/sx428,dr1_fecd0_crab_ae_7906.wav,AE,r,bcl,0.494125,0.647125,0.15299999999999997,crab,a,challenged,False,fecd0,f,950.0,2148.0,1198.0,1.1550304423157598,0.4016366656635178,-0.03572114135032251,0.662743814898459
70,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/sx428,dr1_fecd0_challenged_ae_13360.wav,AE,ch,l,0.835,0.9816875,0.14668750000000008,challenged,crab,me,False,fecd0,f,935.0,2181.0,1246.0,1.0074227180581548,0.5267236649578577,0.11446409527584997,0.5365366495819505
71,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/sx428,dr1_fecd0_stab_ae_40480.wav,AE,t,bcl,2.53,2.7225,0.19250000000000034,stab,quick,vanquished,False,fecd0,f,900.0,2178.0,1278.0,0.6630046947904096,0.5153521195674632,0.21458758635996494,1.4524757800473265
72,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/sx428,dr1_fecd0_vanquished_ae_45428.wav,AE,v,ng,2.83925,2.979125,0.13987499999999997,vanquished,stab,him,False,fecd0,f,716.0,2557.0,1841.0,-1.1476500561028795,1.951957353887306,1.9761352576211129,0.4003328771116544
73,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/sx68,dr1_fecd0_status_ae_17150.wav,AE,t,dx,1.071875,1.2325,0.16062500000000002,status,your,to,False,fecd0,f,1016.0,2027.0,1011.0,1.8045044290492223,-0.05701566508239511,-0.6208177923731194,0.8151920739936513
74,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/sx68,dr1_fecd0_reflect_eh_30606.wav,eh,l,kcl,1.912875,1.9925,0.07962499999999983,reflect,to,,False,fecd0,f,837.0,1861.0,1024.0,0.043052252908468154,-0.686241176684226,-0.5801426241201977,-0.8042582849192045
75,TIMIT,timit/TIMIT_ORIG/train/dr1/fecd0/sx68,dr1_fecd0_wealth_eh_38700.wav,eh,w,l,2.41875,2.5065,0.08774999999999977,wealth,,,False,fecd0,f,816.0,1664.0,848.0,-0.163598561052179,-1.4329726573201338,-1.1308218250828301,-0.6418134186702313
76,TIMIT,timit/TIMIT_ORIG/train/dr1/fetb0/sa1,dr1_fetb0_had_ae_7160.wav,AE,hv,dcl,0.4475,0.5775,0.13,had,she,your,False,fetb0,f,894.0,2048.0,1154.0,0.9414228238846211,0.806351754011373,0.4184719921670576,-0.08004397054569434
77,TIMIT,timit/TIMIT_ORIG/train/dr1/fetb0/sa2,dr1_fetb0_dont_ae_5080.wav,AE,n,s,0.3175,0.4875,0.16999999999999998,don't,,ask,True,fetb0,f,878.0,1737.0,859.0,0.7572019547503642,-0.5440384022946544,-0.7692116754717612,0.6859000923717683
78,TIMIT,timit/TIMIT_ORIG/train/dr1/fetb0/sa2,dr1_fetb0_carry_ae_16626.wav,AE,k,r,1.039125,1.1879375,0.14881250000000001,carry,to,an,False,fetb0,f,821.0,2022.0,1201.0,0.10091510845957434,0.6934574001079753,0.6076961697230728,0.28018909654517515
79,TIMIT,timit/TIMIT_ORIG/train/dr1/fetb0/sa2,dr1_fetb0_rag_ae_29409.wav,AE,r,gcl,1.8380625,2.0286875,0.19062500000000027,rag,oily,like,False,fetb0,f,838.0,1600.0,762.0,0.2966497819147222,-1.1389048055548658,-1.1597381695767288,1.0808399998135907
80,TIMIT,timit/TIMIT_ORIG/train/dr1/fetb0/sa2,dr1_fetb0_that_ae_37723.wav,AE,dh,tcl,2.3576875,2.5875,0.22981249999999998,that,like,,False,fetb0,f,889.0,1942.0,1053.0,0.8838538022801657,0.3460901573282898,0.011841312738173883,1.831225823953037
81,TIMIT,timit/TIMIT_ORIG/train/dr1/fetb0/si518,dr1_fetb0_helping_eh_31480.wav,eh,hv,l,1.9675,2.034125,0.06662499999999993,helping,are,boost,False,fetb0,f,821.0,1392.0,571.0,0.10091510845957434,-2.042059636782048,-1.9287130187937267,-1.2935865952305512
82,TIMIT,timit/TIMIT_ORIG/train/dr1/fetb0/si518,dr1_fetb0_revenues_eh_43613.wav,eh,r,v,2.7258125,2.8325,0.10668750000000005,revenues,boost,,False,fetb0,f,737.0,1963.0,1226.0,-0.8662444544952739,0.4372740585579572,0.708347327997549,-0.5264457447147775
83,TIMIT,timit/TIMIT_ORIG/train/dr1/fetb0/si518,dr1_fetb0_revenues_eh_46360.wav,eh,v,n,2.8975,2.9275,0.03000000000000025,revenues,boost,,False,fetb0,f,651.0,1903.0,1252.0,-1.8564316260919043,0.1767486264731931,0.8130245326030042,-1.9949041278393473
84,TIMIT,timit/TIMIT_ORIG/train/dr1/fetb0/sx158,dr1_fetb0_outcast_ae_26840.wav,AE,k,s,1.6775,1.859,0.1815,outcast,social,,False,fetb0,f,898.0,2007.0,1109.0,0.9874780411681853,0.6283260420867842,0.23729990727300052,0.9061090104605392
85,TIMIT,timit/TIMIT_ORIG/train/dr1/fetb0/sx428,dr1_fetb0_crab_ae_7373.wav,AE,r,bcl,0.4608125,0.5975,0.13668750000000002,crab,a,challenged,False,fetb0,f,940.0,1947.0,1007.0,1.4710578226456092,0.36780061000202013,-0.17335681848686227,0.04801230247331925
86,TIMIT,timit/TIMIT_ORIG/train/dr1/fetb0/sx428,dr1_fetb0_challenged_ae_12600.wav,AE,ch,l,0.7875,0.94,0.15249999999999997,challenged,crab,me,False,fetb0,f,882.0,1782.0,900.0,0.8032571720339284,-0.3486443282310812,-0.6041437759016203,0.35079956484537794
87,TIMIT,timit/TIMIT_ORIG/train/dr1/fetb0/sx428,dr1_fetb0_challenged_eh_15840.wav,eh,l,n,0.99,1.0625,0.07250000000000001,challenged,crab,me,False,fetb0,f,716.0,1692.0,976.0,-1.108034345233986,-0.7394324763582274,-0.29816425474721275,-1.1810885609895474
88,TIMIT,timit/TIMIT_ORIG/train/dr1/fetb0/sx428,dr1_fetb0_stab_ae_37560.wav,AE,t,bcl,2.3475,2.5225,0.17499999999999982,stab,quick,vanquished,False,fetb0,f,832.0,1955.0,1123.0,0.2275669559893759,0.40253733427998867,0.29366455590670715,0.7816431002364481
